,open,high,low,close,adjclose,volume,ticker
2006-04-11,2.4619879722595215,2.4779579639434814,2.4486799240112305,2.465315103530884,1.8520303964614868,2463171,TOTS3.SA
2006-04-12,2.436038017272949,2.4886040687561035,2.4087560176849365,2.4619879722595215,1.8495310544967651,5114198,TOTS3.SA
2006-04-13,2.59506893157959,2.7980170249938965,2.5617990493774414,2.728148937225342,2.049480438232422,4146363,TOTS3.SA
2006-04-14,2.728148937225342,2.728148937225342,2.728148937225342,2.728148937225342,2.049480438232422,0,TOTS3.SA
2006-04-17,2.7288150787353516,2.794689893722534,2.7268190383911133,2.794689893722534,2.099468469619751,2811832,TOTS3.SA
2006-04-18,2.7953550815582275,2.8279600143432617,2.768073081970215,2.794689893722534,2.099468469619751,1223319,TOTS3.SA
2006-04-19,2.7620849609375,2.791363000869751,2.728148937225342,2.728148937225342,2.049480438232422,1759837,TOTS3.SA
2006-04-20,2.676248073577881,2.728148937225342,2.6316659450531006,2.6948790550231934,2.024486541748047,814544,TOTS3.SA
2006-04-21,2.6948790550231934,2.6948790550231934,2.6948790550231934,2.6948790550231934,2.024486541748047,0,TOTS3.SA
2006-04-24,2.6948790550231934,2.6948790550231934,2.59506893157959,2.6582820415496826,1.9969937801361084,1408170,TOTS3.SA
2006-04-25,2.6150310039520264,2.664271116256714,2.6150310039520264,2.6582820415496826,1.9969937801361084,272015,TOTS3.SA
2006-04-26,2.654289960861206,2.674916982650757,2.595733880996704,2.674916982650757,2.009490489959717,3273207,TOTS3.SA
2006-04-27,2.654289960861206,2.6815710067749023,2.6050500869750977,2.661608934402466,1.999493956565857,1487821,TOTS3.SA
2006-04-28,2.680906057357788,2.728148937225342,2.661608934402466,2.728148937225342,2.049480438232422,1200777,TOTS3.SA
2006-05-01,2.728148937225342,2.728148937225342,2.728148937225342,2.728148937225342,2.049480438232422,0,TOTS3.SA
2006-05-02,2.648300886154175,2.8618950843811035,2.648300886154175,2.8618950843811035,2.149955987930298,6214284,TOTS3.SA
2006-05-03,2.8113250732421875,2.8113250732421875,2.6948790550231934,2.7813820838928223,2.0894711017608643,494437,TOTS3.SA
2006-05-04,2.7674078941345215,2.7940239906311035,2.7401270866394043,2.7614190578460693,2.0744740962982178,785990,TOTS3.SA
2006-05-05,2.754765033721924,2.794689893722534,2.701533079147339,2.754765033721924,2.06947660446167,632699,TOTS3.SA
2006-05-08,2.728148937225342,2.741456985473633,2.7128450870513916,2.7128450870513916,2.0379841327667236,338141,TOTS3.SA
2006-05-09,2.6888909339904785,2.7820470333099365,2.661608934402466,2.7128450870513916,2.0379841327667236,35525270,TOTS3.SA
2006-05-10,2.741456985473633,2.86122989654541,2.741456985473633,2.745450019836426,2.0624778270721436,587239960,TOTS3.SA
2006-05-11,2.8479220867156982,2.86122989654541,2.741456985473633,2.8279600143432617,2.1244618892669678,147685745,TOTS3.SA
2006-05-12,2.703528881072998,2.7747280597686768,2.6682629585266113,2.7807159423828125,2.088970422744751,29403230,TOTS3.SA
2006-05-15,2.6682629585266113,2.7348029613494873,2.6283390522003174,2.7348029613494873,2.0544793605804443,50748719,TOTS3.SA
2006-05-16,2.7214949131011963,2.7214949131011963,2.5617990493774414,2.6848978996276855,2.016989231109619,49845792,TOTS3.SA
2006-05-17,2.6948790550231934,2.6948790550231934,2.59506893157959,2.678244113922119,2.0119900703430176,167304836,TOTS3.SA
2006-05-18,2.660278081893921,2.674916982650757,2.6163620948791504,2.661608934402466,1.999493956565857,3354361,TOTS3.SA
2006-05-19,2.59506893157959,2.6682629585266113,2.59506893157959,2.6283390522003174,1.9744993448257446,1887579,TOTS3.SA
2006-05-22,2.592406988143921,2.592406988143921,2.4619879722595215,2.558471918106079,1.9220131635665894,928761,TOTS3.SA
2006-05-23,2.5624639987945557,2.5624639987945557,2.5192129611968994,2.558471918106079,1.9220131635665894,16609949,TOTS3.SA
2006-05-24,2.4619879722595215,2.4619879722595215,2.329572916030884,2.5212090015411377,1.8940194845199585,77378635,TOTS3.SA
2006-05-25,2.3954479694366455,2.515221118927002,2.3887939453125,2.428718090057373,1.8245378732681274,46169655,TOTS3.SA
2006-05-26,2.4619879722595215,2.515221118927002,2.4619879722595215,2.442025899887085,1.8345348834991455,110429297,TOTS3.SA
2006-05-29,2.5212090015411377,2.5212090015411377,2.4752960205078125,2.481950044631958,1.8645273447036743,133753,TOTS3.SA
2006-05-30,2.528528928756714,2.528528928756714,2.428718090057373,2.481950044631958,1.8645273447036743,62014804,TOTS3.SA
2006-05-31,2.4812850952148438,2.581760883331299,2.4812850952148438,2.4619879722595215,1.8495310544967651,145732972,TOTS3.SA
2006-06-01,2.581760883331299,2.6609439849853516,2.5751070976257324,2.581760883331299,1.9395085573196411,32943343,TOTS3.SA
2006-06-02,2.5617990493774414,2.5757720470428467,2.528528928756714,2.5751070976257324,1.934510588645935,27631445,TOTS3.SA
2006-06-05,2.4619879722595215,2.465315103530884,2.428718090057373,2.528528928756714,1.899519443511963,34864121,TOTS3.SA
2006-06-06,2.3954479694366455,2.4752960205078125,2.3289079666137695,2.4619879722595215,1.8495310544967651,17582548,TOTS3.SA
2006-06-07,2.409421920776367,2.409421920776367,2.3954479694366455,2.4752960205078125,1.859528660774231,1895123,TOTS3.SA
2006-06-08,2.3954479694366455,2.3954479694366455,2.2623679637908936,2.3954479694366455,1.799543857574463,73445827,TOTS3.SA
2006-06-09,2.3289079666137695,2.3588509559631348,2.242405891418457,2.3289079666137695,1.7495564222335815,6124429,TOTS3.SA
2006-06-12,2.295638084411621,2.295638084411621,2.131948947906494,2.3122730255126953,1.7370601892471313,17072766,TOTS3.SA
2006-06-13,2.1618919372558594,2.1618919372558594,2.0294768810272217,2.131948947906494,1.6015945672988892,36189018,TOTS3.SA
2006-06-14,2.2024810314178467,2.2024810314178467,2.129287004470825,2.1459219455718994,1.6120911836624146,8879964,TOTS3.SA
2006-06-15,2.1459219455718994,2.1459219455718994,2.1459219455718994,2.1459219455718994,1.6120911836624146,0,TOTS3.SA
2006-06-16,2.102670907974243,2.1625568866729736,2.0893630981445312,2.1678810119628906,1.6285884380340576,13406428,TOTS3.SA
2006-06-19,2.1559031009674072,2.1559031009674072,1.9928799867630005,2.0893630981445312,1.569602131843567,47525091,TOTS3.SA
2006-06-20,2.0387918949127197,2.062082052230835,1.8864150047302246,1.9928799867630005,1.4971208572387695,53419088,TOTS3.SA
2006-06-21,1.92500901222229,1.9296660423278809,1.8697799444198608,1.9030499458312988,1.4296373128890991,84123291,TOTS3.SA
2006-06-22,1.8963960409164429,1.9329930543899536,1.8318519592285156,1.8963960409164429,1.4246387481689453,11706946,TOTS3.SA
2006-06-23,1.8498179912567139,1.995540976524353,1.829856038093567,1.8318519592285156,1.3761513233184814,111644877,TOTS3.SA
2006-06-26,1.9296660423278809,2.115978956222534,1.9296660423278809,1.9962069988250732,1.4996204376220703,691311,TOTS3.SA
2006-06-27,1.9695910215377808,2.019495964050293,1.8963960409164429,1.9962069988250732,1.4996204376220703,18444432,TOTS3.SA
2006-06-28,1.9223469495773315,1.9629369974136353,1.8897420167922974,1.9296660423278809,1.449632167816162,2276817,TOTS3.SA
2006-06-29,1.9296660423278809,2.0960168838500977,1.9296660423278809,1.9296660423278809,1.449632167816162,162584444,TOTS3.SA
2006-06-30,2.129287004470825,2.195162057876587,2.049438953399658,2.0427849292755127,1.5346111059188843,46437764,TOTS3.SA
2006-07-03,2.129287004470825,2.26636004447937,2.129287004470825,2.1093249320983887,1.5845983028411865,29990033,TOTS3.SA
