,open,high,low,close,adjclose,volume,ticker
2002-06-06,634.3472900390625,746.2909545898438,634.3472900390625,745.5446166992188,563.2716674804688,0.0,OIBR3.SA
2002-06-07,716.4392700195312,731.3651123046875,716.4392700195312,731.3651123046875,552.5587158203125,0.0,OIBR3.SA
2002-06-10,708.9763793945312,746.2909545898438,708.9763793945312,746.2909545898438,563.83544921875,0.0,OIBR3.SA
2002-06-11,745.5446166992188,745.5446166992188,723.9022216796875,730.6188354492188,551.994873046875,0.0,OIBR3.SA
2002-06-12,720.1707763671875,723.9022216796875,708.9763793945312,723.9022216796875,546.92041015625,0.0,OIBR3.SA
2002-06-13,723.9022216796875,723.9022216796875,701.5134887695312,723.9022216796875,546.92041015625,0.0,OIBR3.SA
2002-06-14,723.9022216796875,723.9022216796875,680.6173095703125,701.5134887695312,530.00537109375,0.0,OIBR3.SA
2002-06-17,671.661865234375,708.9763793945312,671.661865234375,708.9763793945312,535.6436157226562,0.0,OIBR3.SA
2002-06-18,671.661865234375,708.9763793945312,671.661865234375,708.9763793945312,535.6436157226562,0.0,OIBR3.SA
2002-06-19,671.661865234375,701.5134887695312,671.661865234375,701.5134887695312,530.00537109375,0.0,OIBR3.SA
2002-06-20,672.4081420898438,672.4081420898438,671.661865234375,671.661865234375,507.4519348144531,0.0,OIBR3.SA
2002-06-21,653.0045776367188,653.0045776367188,618.6751708984375,653.0045776367188,493.3560485839844,0.0,OIBR3.SA
2002-06-24,653.0045776367188,656.7360229492188,634.3472900390625,645.5416870117188,487.7176513671875,0.0,OIBR3.SA
2002-06-25,645.5416870117188,660.4674682617188,633.6010131835938,649.2731323242188,490.536865234375,0.0,OIBR3.SA
2002-06-26,597.0327758789062,641.8101806640625,597.0327758789062,641.8101806640625,484.8984680175781,0.0,OIBR3.SA
2002-06-27,641.8101806640625,656.7360229492188,641.8101806640625,656.7360229492188,496.1752624511719,0.0,OIBR3.SA
2002-06-28,656.7360229492188,701.5134887695312,656.7360229492188,701.5134887695312,530.00537109375,0.0,OIBR3.SA
2002-07-01,634.3472900390625,671.661865234375,634.3472900390625,671.661865234375,507.4519348144531,0.0,OIBR3.SA
2002-07-02,635.0935668945312,670.91552734375,635.0935668945312,670.91552734375,506.8880615234375,0.0,OIBR3.SA
2002-07-03,655.98974609375,670.91552734375,655.98974609375,670.91552734375,506.8880615234375,0.0,OIBR3.SA
2002-07-04,642.5565185546875,670.91552734375,642.5565185546875,670.91552734375,506.8880615234375,0.0,OIBR3.SA
2002-07-05,641.8101806640625,664.1989135742188,641.8101806640625,649.2731323242188,490.536865234375,0.0,OIBR3.SA
2002-07-08,649.2731323242188,664.1989135742188,649.2731323242188,664.1989135742188,501.81353759765625,0.0,OIBR3.SA
2002-07-09,664.1989135742188,664.1989135742188,664.1989135742188,664.1989135742188,501.81353759765625,0.0,OIBR3.SA
2002-07-10,664.1989135742188,664.9452514648438,656.7360229492188,660.4674682617188,498.99444580078125,0.0,OIBR3.SA
2002-07-11,659.72119140625,694.0505981445312,659.72119140625,672.4081420898438,508.0158386230469,0.0,OIBR3.SA
2002-07-12,666.4378051757812,693.3042602539062,666.4378051757812,693.3042602539062,523.8031616210938,0.0,OIBR3.SA
2002-07-15,671.661865234375,671.661865234375,670.91552734375,671.661865234375,507.4519348144531,0.0,OIBR3.SA
2002-07-16,650.0194091796875,650.0194091796875,650.0194091796875,650.0194091796875,491.1007080078125,0.0,OIBR3.SA
2002-07-17,694.0505981445312,746.2909545898438,671.661865234375,694.0505981445312,524.3670654296875,0.0,OIBR3.SA
2002-07-18,682.1099243164062,694.0505981445312,682.1099243164062,694.0505981445312,524.3670654296875,0.0,OIBR3.SA
2002-07-19,686.587646484375,686.587646484375,664.1989135742188,671.661865234375,507.4519348144531,0.0,OIBR3.SA
2002-07-22,671.661865234375,671.661865234375,650.0194091796875,650.0194091796875,491.1007080078125,0.0,OIBR3.SA
2002-07-23,634.3472900390625,634.3472900390625,619.4214477539062,634.3472900390625,479.2601318359375,0.0,OIBR3.SA
2002-07-24,626.8843994140625,649.2731323242188,626.8843994140625,649.2731323242188,490.536865234375,0.0,OIBR3.SA
2002-07-25,619.4214477539062,626.8843994140625,604.4956665039062,626.8843994140625,473.6217956542969,0.0,OIBR3.SA
2002-07-26,619.4214477539062,619.4214477539062,574.64404296875,618.6751708984375,467.4195861816406,0.0,OIBR3.SA
