,open,high,low,close,adjclose,volume,ticker
2000-03-06,485.0,485.0,485.0,485.0,239.9053497314453,0.0,GGBR4.SA
2000-03-07,485.0,485.0,485.0,485.0,239.9053497314453,0.0,GGBR4.SA
2000-03-08,485.0,485.0,480.0,485.0,239.9053497314453,6150000.0,GGBR4.SA
2000-03-09,485.0,487.5,478.0,484.5,239.657958984375,6630000.0,GGBR4.SA
2000-03-10,484.8999938964844,486.0,480.0,485.0,239.9053497314453,9870000.0,GGBR4.SA
2000-03-13,485.0,485.0,485.0,485.0,239.9053497314453,0.0,GGBR4.SA
2000-03-14,479.8999938964844,479.8999938964844,465.0,469.79998779296875,232.3867645263672,4440000.0,GGBR4.SA
2000-03-15,461.0,461.0,455.0,458.0,226.54986572265625,10550000.0,GGBR4.SA
2000-03-16,468.1000061035156,472.0,468.0,470.0,232.48558044433594,2770000.0,GGBR4.SA
2000-03-17,460.0,460.20001220703125,454.0,455.0,225.06588745117188,12420000.0,GGBR4.SA
2000-03-20,460.0,465.0,452.0,455.0,225.06588745117188,2490000.0,GGBR4.SA
2000-03-21,455.0,455.0,440.0,450.0,222.5926513671875,15800000.0,GGBR4.SA
2000-03-22,455.0,456.0,450.0,456.0,225.56053161621094,6490000.0,GGBR4.SA
2000-03-23,460.0,472.0,460.0,469.8999938964844,232.4362335205078,15110000.0,GGBR4.SA
2000-03-24,480.0,480.0,465.0,472.0,233.47496032714844,3980000.0,GGBR4.SA
2000-03-27,475.0,479.3999938964844,469.0,470.0,232.48558044433594,4910000.0,GGBR4.SA
2000-03-28,470.1000061035156,470.1000061035156,455.0,458.8999938964844,226.99501037597656,5580000.0,GGBR4.SA
2000-03-29,479.8999938964844,479.8999938964844,458.0,462.0,228.52842712402344,4470000.0,GGBR4.SA
2000-03-30,460.0,460.0,455.0,460.0,227.5391845703125,4420000.0,GGBR4.SA
2000-03-31,465.0,465.0,451.1000061035156,455.0,225.06588745117188,2170000.0,GGBR4.SA
2000-04-03,451.5,455.0,433.0,435.0,215.1728973388672,6720000.0,GGBR4.SA
2000-04-04,448.0,448.0,430.0,439.8999938964844,217.59671020507812,2570000.0,GGBR4.SA
2000-04-05,450.0,451.5,440.0,440.0,217.6461639404297,5370000.0,GGBR4.SA
2000-04-06,445.0,455.0,440.0,448.0,221.6033172607422,2170000.0,GGBR4.SA
2000-04-07,455.0,460.8999938964844,450.0,450.0,222.5926513671875,6790000.0,GGBR4.SA
2000-04-10,460.0,460.0,441.0,445.0,220.1194305419922,2400000.0,GGBR4.SA
2000-04-11,443.0,450.0,440.0,441.0,218.1407928466797,740000.0,GGBR4.SA
2000-04-12,441.5,445.0,438.0,440.0,217.6461639404297,3470000.0,GGBR4.SA
2000-04-13,432.0,440.0,420.0,420.0,207.753173828125,1780000.0,GGBR4.SA
2000-04-14,415.0,418.0,395.0,397.0,196.37615966796875,4110000.0,GGBR4.SA
2000-04-17,397.0,402.0,368.0,390.0,192.9136199951172,7360000.0,GGBR4.SA
2000-04-18,400.0,415.0,400.0,408.0,201.81735229492188,7340000.0,GGBR4.SA
